,Name,Brand,Model,Manafacture Year,Color,Mileage,Price,Location,Listing Date
5293,Mercedes 200 2023,Mercedes,200,2023,Black,0,5250000,06-Oct,20/05/2024
5294,Mercedes GLS 2017,Mercedes,GLS,2017,Black,700000,6000000,Heliopolis,20/05/2024
5295,Mercedes C 200 AMG 2023,Mercedes,C 200 AMG,2023,Black,90000,3750000,Heliopolis,20/05/2024
5296,Mercedes C 180 2022,Mercedes,C 180,2022,Black,0,3200000,06-Oct,20/05/2024
5297,Mercedes C 180 2019,Mercedes,C 180,2019,Silver,1030000,2500000,Tagamo3 - New Cairo,20/05/2024
5298,Mercedes 230 2008,Mercedes,230,2008,Silver,3000000,1150000,Cairo,20/05/2024
5299,Mercedes C 180 2012,Mercedes,C 180,2012,Black,1200000,1450000,Cairo,20/05/2024
5300,Mercedes E 200 2023,Mercedes,E 200,2023,Black,0,5200000,Tagamo3 - New Cairo,20/05/2024
5301,Mercedes 350 2023,Mercedes,350,2023,Black,0,4650000,Tagamo3 - New Cairo,20/05/2024
5302,Mercedes GLA 2024,Mercedes,GLA,2024,White,100,3375000,Tagamo3 - New Cairo,20/05/2024
5303,Mercedes A 200 2023,Mercedes,A 200,2023,Silver,0,2675000,Tagamo3 - New Cairo,20/05/2024
5304,Mercedes GLC 200 AMG Imported 2024,Mercedes,GLC 200 AMG Imported,2024,White,100,5425000,Tagamo3 - New Cairo,20/05/2024
5305,Mercedes CLA 200 2024,Mercedes,CLA 200,2024,Black,0,3300000,Tagamo3 - New Cairo,20/05/2024
5306,Mercedes C 180 2019,Mercedes,C 180,2019,Black,1360000,2125000,Nasr city,20/05/2024
5307,Mercedes C 180 2020,Mercedes,C 180,2020,Silver,1300000,2350000,Tagamo3 - New Cairo,20/05/2024
5308,Mercedes GLC 200 2024,Mercedes,GLC 200,2024,Black,0,4800000,Sheikh Zayed City,20/05/2024
5309,Mercedes C 300 2020,Mercedes,C 300,2020,Silver,290000,3450000,Sheikh Zayed City,20/05/2024
5310,Mercedes CLA 180 2023,Mercedes,CLA 180,2023,White,0,2890000,Nasr city,20/05/2024
5311,Mercedes 180 2004,Mercedes,180,2004,Black,2550000,625000,Cairo,20/05/2024
5312,Mercedes C 180 2023,Mercedes,C 180,2023,Black,360000,2680000,Tagamo3 - New Cairo,20/05/2024
5313,Mercedes C 180 2009,Mercedes,C 180,2009,Silver,2000000,1090000,Cairo,20/05/2024
5314,Mercedes E 180 2018,Mercedes,E 180,2018,Black,1020000,2580000,Dokki,20/05/2024
5315,Mercedes C 180 2018,Mercedes,C 180,2018,Blue,1700000,1100000,Faiyum,20/05/2024
5316,Mercedes C 180 2022,Mercedes,C 180,2022,Black,110000,3300000,06-Oct,20/05/2024
5317,Mercedes 500 2023,Mercedes,500,2023,Black,200000,8500000,Cairo,20/05/2024
5318,Mercedes GLA 2018,Mercedes,GLA,2018,White,990000,1840000,Nasr city,20/05/2024
5319,Mercedes EQB 2023,Mercedes,EQB,2023,Blue,0,2600000,06-Oct,20/05/2024
5320,Mercedes C 180 2020,Mercedes,C 180,2020,Black,300000,2490000,Tagamo3 - New Cairo,20/05/2024
5321,Mercedes CLA 200 2020,Mercedes,CLA 200,2020,Dark grey,490000,2250000,Tagamo3 - New Cairo,20/05/2024
5322,Mercedes C 180 2013,Mercedes,C 180,2013,Silver,1050000,1350000,Kom Hamada,20/05/2024
5323,Mercedes 350 2006,Mercedes,350,2006,Gray,1960000,1600000,Cairo,20/05/2024
5324,Mercedes C 300 2020,Mercedes,C 300,2020,Silver,570000,4300000,Cairo,20/05/2024
5325,Mercedes CLA 180 2021,Mercedes,CLA 180,2021,Silver,1300000,1890000,Mohandessin,20/05/2024
5326,Mercedes E 180 2018,Mercedes,E 180,2018,Dark grey,1300000,650000,Nasr city,20/05/2024
5327,Mercedes C 180 2015,Mercedes,C 180,2015,White,950000,500000,Nasr city,20/05/2024
5328,Mercedes C 180 2019,Mercedes,C 180,2019,Dark grey,1000000,585000,Nasr city,20/05/2024
5329,Mercedes C 180 2014,Mercedes,C 180,2014,Black,2000000,385000,Cairo,20/05/2024
5330,Mercedes C 200 2022,Mercedes,C 200,2022,White,260000,3100000,06-Oct,20/05/2024
5331,Mercedes 240 1999,Mercedes,240,1999,Silver,2500000,630000,Ismailia,20/05/2024
5332,Mercedes GLC 300 2023,Mercedes,GLC 300,2023,Black,0,5000000,Cairo,20/05/2024
5333,Mercedes E 180 2018,Mercedes,E 180,2018,White,620000,3100000,Cairo,20/05/2024
5334,Mercedes E 200 2020,Mercedes,E 200,2020,Dark grey,320000,3850000,Heliopolis,20/05/2024
5335,Mercedes C 180 2020,Mercedes,C 180,2020,Black,450000,2700000,Cairo,20/05/2024
5336,Mercedes CLA 200 2023,Mercedes,CLA 200,2023,Silver,80000,2800000,Heliopolis,20/05/2024
5337,Mercedes C 250 2011,Mercedes,C 250,2011,Silver,1950000,1200000,Tagamo3 - New Cairo,20/05/2024
5338,Mercedes 240 2005,Mercedes,240,2005,Black,2450000,950000,06-Oct,20/05/2024
5339,Mercedes C 200 2007,Mercedes,C 200,2007,Silver,2750000,750000,El Haram,20/05/2024
5340,Mercedes E 200 2024,Mercedes,E 200,2024,Black,190,5700000,Mohandessin,20/05/2024
5341,Mercedes C 180 2022,Mercedes,C 180,2022,Dark grey,270000,3350000,Alexandria,20/05/2024
5342,Mercedes E 200 AMG 2024,Mercedes,E 200 AMG,2024,Black,0,4020000,Faiyum,20/05/2024
5343,Mercedes SEL 280 1986,Mercedes,SEL 280,1986,Dark red,0,350000,Obour City,20/05/2024
5344,Mercedes C 180 2009,Mercedes,C 180,2009,Bronze,1850000,1060000,Heliopolis,20/05/2024
5345,Mercedes C 200 2022,Mercedes,C 200,2022,Gray,230000,3800000,Heliopolis,20/05/2024
5346,Mercedes GLS 2023,Mercedes,GLS,2023,Silver,70000,8250000,Tagamo3 - New Cairo,20/05/2024
5347,Mercedes C 180 2024,Mercedes,C 180,2024,Gold,0,3500000,Cairo,20/05/2024
5348,Mercedes E 200 2023,Mercedes,E 200,2023,Black,0,4585000,Sheikh Zayed City,20/05/2024
5349,Mercedes C 250 2012,Mercedes,C 250,2012,White,1510000,1500000,Heliopolis,20/05/2024
5350,Mercedes C 250 2010,Mercedes,C 250,2010,Gray,1650000,1255000,Heliopolis,20/05/2024
5351,Mercedes C 180 2020,Mercedes,C 180,2020,White,140000,2350000,Heliopolis,20/05/2024
5352,Mercedes C 200 2008,Mercedes,C 200,2008,Petroleum,2900000,850000,Giza,20/05/2024
5353,Mercedes C 180 2023,Mercedes,C 180,2023,White,280000,2949999,Tagamo3 - New Cairo,20/05/2024
5354,Mercedes 200 2021,Mercedes,200,2021,Red,600000,2450000,Nasr city,20/05/2024
5355,Mercedes C 180 2014,Mercedes,C 180,2014,Black,1550000,1550000,10th of Ramadan,20/05/2024
